"ID"	"SampleType"	"Plate"	"Generation"	"Treatment"	"SampleNumber"	"GenTreat"	"TypeGenTreat"	"TransGen"
"59"	"G2F2C7"	"Gut"	"G2"	"F2"	"C"	7	"F2C"	"GF2C"	"T"
"60"	"G2F2C8"	"Gut"	"G2"	"F2"	"C"	8	"F2C"	"GF2C"	"T"
"61"	"G2F2C9"	"Gut"	"G2"	"F2"	"C"	9	"F2C"	"GF2C"	"T"
"62"	"G2F2N1"	"Gut"	"G2"	"F2"	"N"	1	"F2N"	"GF2N"	"T"
"63"	"G2F2N10"	"Gut"	"G2"	"F2"	"N"	10	"F2N"	"GF2N"	"T"
"64"	"G2F2N11"	"Gut"	"G2"	"F2"	"N"	11	"F2N"	"GF2N"	"T"
"65"	"G2F2N12"	"Gut"	"G2"	"F2"	"N"	12	"F2N"	"GF2N"	"T"
"66"	"G2F2N13"	"Gut"	"G2"	"F2"	"N"	13	"F2N"	"GF2N"	"T"
"67"	"G2F2N14"	"Gut"	"G2"	"F2"	"N"	14	"F2N"	"GF2N"	"T"
"68"	"G2F2N15"	"Gut"	"G2"	"F2"	"N"	15	"F2N"	"GF2N"	"T"
"69"	"G2F2N2"	"Gut"	"G2"	"F2"	"N"	2	"F2N"	"GF2N"	"T"
"70"	"G2F2N3"	"Gut"	"G2"	"F2"	"N"	3	"F2N"	"GF2N"	"T"
"71"	"G2F2N4"	"Gut"	"G2"	"F2"	"N"	4	"F2N"	"GF2N"	"T"
"72"	"G2F2N5"	"Gut"	"G2"	"F2"	"N"	5	"F2N"	"GF2N"	"T"
"73"	"G2F2N6"	"Gut"	"G2"	"F2"	"N"	6	"F2N"	"GF2N"	"T"
"74"	"G2F2N7"	"Gut"	"G2"	"F2"	"N"	7	"F2N"	"GF2N"	"T"
"75"	"G2F2N8"	"Gut"	"G2"	"F2"	"N"	8	"F2N"	"GF2N"	"T"
"76"	"G2F2N9"	"Gut"	"G2"	"F2"	"N"	9	"F2N"	"GF2N"	"T"
"77"	"G2F3C1"	"Gut"	"G2"	"F3"	"C"	1	"F3C"	"GF3C"	"T"
"78"	"G2F3C10"	"Gut"	"G2"	"F3"	"C"	10	"F3C"	"GF3C"	"T"
"79"	"G2F3C11"	"Gut"	"G2"	"F3"	"C"	11	"F3C"	"GF3C"	"T"
"80"	"G2F3C12"	"Gut"	"G2"	"F3"	"C"	12	"F3C"	"GF3C"	"T"
"81"	"G2F3C13"	"Gut"	"G2"	"F3"	"C"	13	"F3C"	"GF3C"	"T"
"82"	"G2F3C14"	"Gut"	"G2"	"F3"	"C"	14	"F3C"	"GF3C"	"T"
"83"	"G2F3C15"	"Gut"	"G2"	"F3"	"C"	15	"F3C"	"GF3C"	"T"
"84"	"G2F3C2"	"Gut"	"G2"	"F3"	"C"	2	"F3C"	"GF3C"	"T"
"85"	"G2F3C3"	"Gut"	"G2"	"F3"	"C"	3	"F3C"	"GF3C"	"T"
"86"	"G2F3C4"	"Gut"	"G2"	"F3"	"C"	4	"F3C"	"GF3C"	"T"
"87"	"G2F3C5"	"Gut"	"G2"	"F3"	"C"	5	"F3C"	"GF3C"	"T"
"88"	"G2F3C6"	"Gut"	"G2"	"F3"	"C"	6	"F3C"	"GF3C"	"T"
"89"	"G2F3C7"	"Gut"	"G2"	"F3"	"C"	7	"F3C"	"GF3C"	"T"
"90"	"G2F3C8"	"Gut"	"G2"	"F3"	"C"	8	"F3C"	"GF3C"	"T"
"91"	"G2F3C9"	"Gut"	"G2"	"F3"	"C"	9	"F3C"	"GF3C"	"T"
"92"	"G2F3N1"	"Gut"	"G2"	"F3"	"N"	1	"F3N"	"GF3N"	"T"
"93"	"G2F3N10"	"Gut"	"G2"	"F3"	"N"	10	"F3N"	"GF3N"	"T"
"94"	"G2F3N11"	"Gut"	"G2"	"F3"	"N"	11	"F3N"	"GF3N"	"T"
"95"	"G2F3N12"	"Gut"	"G2"	"F3"	"N"	12	"F3N"	"GF3N"	"T"
"96"	"G2F3N13"	"Gut"	"G2"	"F3"	"N"	13	"F3N"	"GF3N"	"T"
"97"	"G2F3N14"	"Gut"	"G2"	"F3"	"N"	14	"F3N"	"GF3N"	"T"
"98"	"G2F3N15"	"Gut"	"G2"	"F3"	"N"	15	"F3N"	"GF3N"	"T"
"99"	"G2F3N2"	"Gut"	"G2"	"F3"	"N"	2	"F3N"	"GF3N"	"T"
"100"	"G2F3N3"	"Gut"	"G2"	"F3"	"N"	3	"F3N"	"GF3N"	"T"
"101"	"G2F3N4"	"Gut"	"G2"	"F3"	"N"	4	"F3N"	"GF3N"	"T"
"102"	"G2F3N5"	"Gut"	"G2"	"F3"	"N"	5	"F3N"	"GF3N"	"T"
"103"	"G2F3N6"	"Gut"	"G2"	"F3"	"N"	6	"F3N"	"GF3N"	"T"
"104"	"G2F3N7"	"Gut"	"G2"	"F3"	"N"	7	"F3N"	"GF3N"	"T"
"105"	"G2F3N8"	"Gut"	"G2"	"F3"	"N"	8	"F3N"	"GF3N"	"T"
"106"	"G2F3N9"	"Gut"	"G2"	"F3"	"N"	9	"F3N"	"GF3N"	"T"
"107"	"G2F2C15B"	"Gut"	"G2"	"F2"	"C"	15	"F2C"	"GF2C"	"T"
