ID	SampleType	Plate	Generation	Treatment	SampleNumber	GenTreat	TypeGenTreat	TransGen
MF0C2	Media	M	F0	CD	2	F0CD	MF0CD	T
MF0C3	Media	M	F0	CD	3	F0CD	MF0CD	T
MF0C4	Media	M	F0	CD	4	F0CD	MF0CD	T
MF0C5	Media	M	F0	CD	5	F0CD	MF0CD	T
MF0C6	Media	M	F0	CD	6	F0CD	MF0CD	T
MF0C7	Media	M	F0	CD	7	F0CD	MF0CD	T
MF0C8	Media	M	F0	CD	8	F0CD	MF0CD	T
MF0H1	Media	M	F0	HSD	1	F0HSD	MF0HSD	T
MF0H2	Media	M	F0	HSD	2	F0HSD	MF0HSD	T
MF0H3	Media	M	F0	HSD	3	F0HSD	MF0HSD	T
MF0H4	Media	M	F0	HSD	4	F0HSD	MF0HSD	T
MF0H6	Media	M	F0	HSD	6	F0HSD	MF0HSD	T
MF0H7	Media	M	F0	HSD	7	F0HSD	MF0HSD	T
MF0H8	Media	M	F0	HSD	8	F0HSD	MF0HSD	T
MF0N1	Media	M	F0	NSD	1	F0NSD	MF0NSD	T
MF0N2	Media	M	F0	NSD	2	F0NSD	MF0NSD	T
MF0N3	Media	M	F0	NSD	3	F0NSD	MF0NSD	T
MF0N4	Media	M	F0	NSD	4	F0NSD	MF0NSD	T
MF0N5	Media	M	F0	NSD	5	F0NSD	MF0NSD	T
MF0N6	Media	M	F0	NSD	6	F0NSD	MF0NSD	T
MF0N7	Media	M	F0	NSD	7	F0NSD	MF0NSD	T
MF0N8	Media	M	F0	NSD	8	F0NSD	MF0NSD	T
MF1C1	Media	M	F1	CD	1	F1CD	MF1CD	T
MF1C2	Media	M	F1	CD	2	F1CD	MF1CD	T
MF1C3	Media	M	F1	CD	3	F1CD	MF1CD	T
MF1C4	Media	M	F1	CD	4	F1CD	MF1CD	T
MF1C5	Media	M	F1	CD	5	F1CD	MF1CD	T
MF1C6	Media	M	F1	CD	6	F1CD	MF1CD	T
MF1C7	Media	M	F1	CD	7	F1CD	MF1CD	T
MF1C8	Media	M	F1	CD	8	F1CD	MF1CD	T
MF1H1	Media	M	F1	HSD	1	F1HSD	MF1HSD	T
MF1H2	Media	M	F1	HSD	2	F1HSD	MF1HSD	T
MF1H3	Media	M	F1	HSD	3	F1HSD	MF1HSD	T
MF1H4	Media	M	F1	HSD	4	F1HSD	MF1HSD	T
MF1H5	Media	M	F1	HSD	5	F1HSD	MF1HSD	T
MF1H6	Media	M	F1	HSD	6	F1HSD	MF1HSD	T
MF1H7	Media	M	F1	HSD	7	F1HSD	MF1HSD	T
MF1H8	Media	M	F1	HSD	8	F1HSD	MF1HSD	T
MF1N1	Media	M	F1	NSD	1	F1NSD	MF1NSD	T
MF1N2	Media	M	F1	NSD	2	F1NSD	MF1NSD	T
MF1N3	Media	M	F1	NSD	3	F1NSD	MF1NSD	T
MF1N4	Media	M	F1	NSD	4	F1NSD	MF1NSD	T
MF1N5	Media	M	F1	NSD	5	F1NSD	MF1NSD	T
MF1N6	Media	M	F1	NSD	6	F1NSD	MF1NSD	T
MF1N7	Media	M	F1	NSD	7	F1NSD	MF1NSD	T
MF1N8	Media	M	F1	NSD	8	F1NSD	MF1NSD	T
MF2C1	Media	M	F2	CD	1	F2CD	MF2CD	T
MF2C2	Media	M	F2	CD	2	F2CD	MF2CD	T
MF2C3	Media	M	F2	CD	3	F2CD	MF2CD	T
MF2C4	Media	M	F2	CD	4	F2CD	MF2CD	T
MF2C5	Media	M	F2	CD	5	F2CD	MF2CD	T
MF2C6	Media	M	F2	CD	6	F2CD	MF2CD	T
MF2C7	Media	M	F2	CD	7	F2CD	MF2CD	T
MF2C8	Media	M	F2	CD	8	F2CD	MF2CD	T
MF2H1	Media	M	F2	HSD	1	F2HSD	MF2HSD	T
MF2H2	Media	M	F2	HSD	2	F2HSD	MF2HSD	T
MF2H3	Media	M	F2	HSD	3	F2HSD	MF2HSD	T
MF2H4	Media	M	F2	HSD	4	F2HSD	MF2HSD	T
MF2H5	Media	M	F2	HSD	5	F2HSD	MF2HSD	T
MF2H6	Media	M	F2	HSD	6	F2HSD	MF2HSD	T
MF2H7	Media	M	F2	HSD	7	F2HSD	MF2HSD	T
MF2H8	Media	M	F2	HSD	8	F2HSD	MF2HSD	T
MF2N1	Media	M	F2	NSD	1	F2NSD	MF2NSD	T
MF2N2	Media	M	F2	NSD	2	F2NSD	MF2NSD	T
MF2N3	Media	M	F2	NSD	3	F2NSD	MF2NSD	T
MF2N4	Media	M	F2	NSD	4	F2NSD	MF2NSD	T
MF2N5	Media	M	F2	NSD	5	F2NSD	MF2NSD	T
MF2N6	Media	M	F2	NSD	6	F2NSD	MF2NSD	T
MF2N7	Media	M	F2	NSD	7	F2NSD	MF2NSD	T
MF2N8	Media	M	F2	NSD	8	F2NSD	MF2NSD	T
MF3C1	Media	M	F3	CD	1	F3CD	MF3CD	T
MF3C2	Media	M	F3	CD	2	F3CD	MF3CD	T
MF3C3	Media	M	F3	CD	3	F3CD	MF3CD	T
MF3C4	Media	M	F3	CD	4	F3CD	MF3CD	T
MF3C5	Media	M	F3	CD	5	F3CD	MF3CD	T
MF3C6	Media	M	F3	CD	6	F3CD	MF3CD	T
MF3C7	Media	M	F3	CD	7	F3CD	MF3CD	T
MF3C8	Media	M	F3	CD	8	F3CD	MF3CD	T
MF3H1	Media	M	F3	HSD	1	F3HSD	MF3HSD	T
MF3H2	Media	M	F3	HSD	2	F3HSD	MF3HSD	T
MF3H3	Media	M	F3	HSD	3	F3HSD	MF3HSD	T
MF3H4	Media	M	F3	HSD	4	F3HSD	MF3HSD	T
MF3H5	Media	M	F3	HSD	5	F3HSD	MF3HSD	T
MF3H6	Media	M	F3	HSD	6	F3HSD	MF3HSD	T
MF3H7	Media	M	F3	HSD	7	F3HSD	MF3HSD	T
MF3H8	Media	M	F3	HSD	8	F3HSD	MF3HSD	T
MF3N1	Media	M	F3	NSD	1	F3NSD	MF3NSD	T
MF3N2	Media	M	F3	NSD	2	F3NSD	MF3NSD	T
MF3N3	Media	M	F3	NSD	3	F3NSD	MF3NSD	T
MF3N4	Media	M	F3	NSD	4	F3NSD	MF3NSD	T
MF3N5	Media	M	F3	NSD	5	F3NSD	MF3NSD	T
MF3N6	Media	M	F3	NSD	6	F3NSD	MF3NSD	T
MF3N7	Media	M	F3	NSD	7	F3NSD	MF3NSD	T
MF3N8	Media	M	F3	NSD	8	F3NSD	MF3NSD	T
MFH5	Media	M	F0	HSD	5	F0HSD	MF0HSD	D
G2F2H9B	Gut	G2	F2	HSD	9	F2HSD	GF2HSD	T
G2F2C15B	Gut	G2	F2	CD	15	F2CD	GF2CD	T
